State,Plot,ClassBefore_fire,Treatment,Fire,CH_old,CH_corrected,TSF,corrected
AC,BOL_4,Undisturbed,after_after,2010,-0.098096477,-0.151096477,4,Y
AC,BOL_5,Undisturbed,after_after,2010,-0.049561224,-0.102561224,4,Y
AC,BOL_6,Undisturbed,after_after,2010,-0.125488886,-0.178488886,4,Y
AC,RCM_4,Undisturbed,after_after,2010,-0.096357156,-0.149357156,4,Y
AC,RCM_5,Undisturbed,after_after,2010,-0.015404912,-0.068404912,4,Y
AC,RCM_6,Undisturbed,after_after,2010,-0.19213519,-0.24513519,4,Y
AC,BOL_4,Undisturbed,after_after,2010,-0.055129339,-0.108129339,6,Y
AC,BOL_5,Undisturbed,after_after,2010,-0.322030313,-0.375030313,6,Y
AC,BOL_6,Undisturbed,after_after,2010,-0.087547813,-0.140547813,6,Y
AC,RCM_4,Undisturbed,after_after,2010,-0.132489714,-0.185489714,6,Y
AC,RCM_5,Undisturbed,after_after,2010,0.018398451,-0.034601549,6,Y
AC,RCM_6,Undisturbed,after_after,2010,-0.193900029,-0.246900029,6,Y
AM,NOC_04,Undisturbed,before_after,2015,-0.116834103,-0.116834103,1,N
AM,NOC_05,Undisturbed,before_after,2015,-0.034273663,-0.034273663,1,N
AM,NOC_06,Undisturbed,before_after,2015,-0.089551957,-0.089551957,1,N
AM,NOC_07,Undisturbed,before_after,2015,-0.045081655,-0.045081655,1,N
AM,NOC_08,Undisturbed,before_after,2015,-0.069468712,-0.069468712,1,N
AM,NOC_09,Undisturbed,before_after,2015,-0.016984231,-0.016984231,1,N
AM,NOC_10,Undisturbed,before_after,2015,-0.272128046,-0.272128046,1,N
AM,TIC_04,Undisturbed,before_after,2015,-0.012169581,-0.012169581,1,N
AM,TIC_05,Undisturbed,before_after,2015,-0.094060059,-0.094060059,1,N
AM,TIC_06,Undisturbed,before_after,2015,-0.224150906,-0.224150906,1,N
AM,TIC_07,Undisturbed,before_after,2015,-0.03561449,-0.03561449,1,N
AM,TIC_08,Undisturbed,before_after,2015,-0.14233353,-0.14233353,1,N
AM,NOC_04,Undisturbed,before_after,2015,-0.17713035,-0.17713035,2,N
AM,NOC_05,Undisturbed,before_after,2015,-0.038082457,-0.038082457,2,N
AM,NOC_06,Undisturbed,before_after,2015,-0.086825255,-0.086825255,2,N
AM,NOC_07,Undisturbed,before_after,2015,-0.02679162,-0.02679162,2,N
AM,NOC_08,Undisturbed,before_after,2015,-0.076433363,-0.076433363,2,N
AM,NOC_09,Undisturbed,before_after,2015,-0.028354815,-0.028354815,2,N
AM,NOC_10,Undisturbed,before_after,2015,-0.269102033,-0.269102033,2,N
AM,TIC_04,Undisturbed,before_after,2015,-0.001002667,-0.001002667,2,N
AM,TIC_05,Undisturbed,before_after,2015,-0.174628438,-0.174628438,2,N
AM,TIC_06,Undisturbed,before_after,2015,-0.203669232,-0.203669232,2,N
AM,TIC_07,Undisturbed,before_after,2015,-0.069415011,-0.069415011,2,N
AM,TIC_08,Undisturbed,before_after,2015,-0.190157721,-0.190157721,2,N
AM,NOC_04,Undisturbed,before_after,2015,-0.172462629,-0.172462629,3,N
AM,NOC_05,Undisturbed,before_after,2015,-0.069982563,-0.069982563,3,N
AM,NOC_06,Undisturbed,before_after,2015,-0.134413651,-0.134413651,3,N
AM,NOC_07,Undisturbed,before_after,2015,-0.013225155,-0.013225155,3,N
AM,NOC_08,Undisturbed,before_after,2015,-0.074458422,-0.074458422,3,N
AM,NOC_09,Undisturbed,before_after,2015,-0.034650638,-0.034650638,3,N
AM,NOC_10,Undisturbed,before_after,2015,-0.311954757,-0.311954757,3,N
AM,TIC_04,Undisturbed,before_after,2015,-0.023122834,-0.023122834,3,N
AM,TIC_05,Undisturbed,before_after,2015,-0.209978653,-0.209978653,3,N
AM,TIC_06,Undisturbed,before_after,2015,-0.193473435,-0.193473435,3,N
AM,TIC_07,Undisturbed,before_after,2015,-0.095016436,-0.095016436,3,N
AM,TIC_08,Undisturbed,before_after,2015,-0.196168603,-0.196168603,3,N
MT,EDGE_3Y,Burned,before_after,2010,-0.566535454,-0.566535454,1,N
MT,EDGE_1Y,Burned,before_after,2010,-0.214769476,-0.214769476,1,N
MT,FOREST_3Y,Burned,before_after,2010,-0.138888603,-0.138888603,1,N
MT,FOREST_1Y,Burned,before_after,2010,-0.103881349,-0.103881349,1,N
MT,EDGE_3Y,Undisturbed,before_after,2004,-0.132612035,-0.132612035,1,N
MT,FOREST_3Y,Undisturbed,before_after,2004,-0.037161361,-0.037161361,1,N
MT,EDGE_3Y,Burned,before_after,2010,-0.713307091,-0.713307091,2,N
MT,EDGE_1Y,Burned,before_after,2010,-0.289594727,-0.289594727,2,N
MT,FOREST_3Y,Burned,before_after,2010,-0.176325541,-0.176325541,2,N
MT,FOREST_1Y,Burned,before_after,2010,-0.136530515,-0.136530515,2,N
MT,EDGE_3Y,Undisturbed,before_after,2004,-0.127616376,-0.127616376,2,N
MT,FOREST_3Y,Undisturbed,before_after,2004,-0.023585726,-0.023585726,2,N
MT,EDGE_3Y,Burned,before_after,2010,-0.825801339,-0.825801339,4,N
MT,EDGE_1Y,Burned,before_after,2010,-0.544221506,-0.544221506,4,N
MT,FOREST_3Y,Burned,before_after,2010,-0.436711621,-0.436711621,4,N
MT,FOREST_1Y,Burned,before_after,2010,-0.305934176,-0.305934176,4,N
MT,EDGE_3Y,Burned,before_after,2010,-0.765451663,-0.765451663,6,N
MT,EDGE_1Y,Burned,before_after,2010,-0.583100938,-0.583100938,6,N
MT,FOREST_3Y,Burned,before_after,2010,-0.447824907,-0.447824907,6,N
MT,FOREST_1Y,Burned,before_after,2010,-0.327397318,-0.327397318,6,N
PA,357_2,LBF,before_after,2015,-0.222096368,-0.212681629,1,Y
PA,260_4,Logged,before_after,2015,-0.197432882,-0.157764128,1,Y
PA,260_1,Logged,before_after,2015,-0.193406764,-0.210374338,1,Y
PA,69_8,Logged,before_after,2015,-0.017442655,0.003873635,1,Y
PA,112_12,Logged,before_after,2015,-0.158350194,-0.207474255,1,Y
PA,261_10,Undisturbed,before_after,2015,-0.175029033,-0.087367477,1,Y
PA,261_9,Undisturbed,before_after,2015,-0.040222603,-0.168508524,1,Y
PA,260_5,LBF,before_after,2015,-0.493524544,-0.410306052,1,Y
PA,157_2,LBF,after_after,2015,0.04704773,-0.144665685,3,Y
PA,157_8,Secondary,after_after,2015,-0.082298929,-0.214123502,3,Y
PA,261_8,Undisturbed,after_after,2015,-0.157644207,-0.252177498,3,Y
PA,307_3,LBF,after_after,2015,0.071695044,-0.172085726,3,Y
PA,307_7,LBF,after_after,2015,-0.116089483,-0.305299342,3,Y
PA,Extra_2,Undisturbed,after_after,2015,-0.052677671,-0.226146223,3,Y
PA,Extra_3,Undisturbed,after_after,2015,-0.003749599,-0.194943366,3,Y
PA,TPJ_10,Burned,before_after,2015,-0.191722093,-0.191722093,1,N
PA,TPJ_7,Burned,before_after,2015,-0.140392957,-0.140392957,1,N
PA,260_4,Logged,before_after,2015,-0.264842876,-0.197297855,3,Y
PA,260_1,Logged,before_after,2015,-0.320056479,-0.365446249,3,Y
PA,69_8,Logged,before_after,2015,-0.158529115,-0.121648398,3,Y
PA,112_12,Logged,before_after,2015,-0.183733111,-0.229167244,3,Y
PA,261_10,Undisturbed,before_after,2015,-0.162038646,-0.132672917,3,Y
PA,261_9,Undisturbed,before_after,2015,-0.374723001,-0.428385569,3,Y
PA,260_5,LBF,before_after,2015,-0.522483612,-0.467598466,3,Y
AC,SUM_1,Undisturbed,before_after,2005,-0.053,-0.053,1,N
AC,SUM_1,Undisturbed,before_after,2005,-0.144,-0.144,4,N
