system:index,area_km2,freq_desf,year,.geo
0,2288.3499034021042,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,818.0758717410898,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,395.052386429688,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,176.31137313598626,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,81.13422207690424,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,37.83959654931644,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,18.57903067047119,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.751743227905276,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.474707672546387,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.827766780761719,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.983620278930664,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5757772296142576,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.36463171472167977,13,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.17612060668945315,14,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.11218589483642578,15,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.07284391644287108,16,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.04802697644042969,17,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.017768516357421875,18,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.015137171508789063,19,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.007137238891601562,20,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.003546192687988281,21,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.00976819842529297,22,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0017874073486328125,23,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0017791074829101561,24,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.003536592956542969,25,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.002643505187988281,28,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0017721456909179688,31,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0017702818603515624,32,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0035364611206054686,33,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
