system:index,area_km2,freq_std,year,.geo
0,33105.85677488611,1,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7750.72383081404,2,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2637.246404142428,3,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1047.8286418078485,4,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,406.7926849911491,5,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,150.8692828448486,6,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,57.447800682678285,7,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,21.42191200683594,8,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.177916474609381,9,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.7028543359375004,10,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2473751976928709,11,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.574367065124512,12,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.893584966064454,13,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
