system:index,area_km2,year,ysf_desf,.geo
0,2590.562958402408,1999,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,705.2917429732056,1999,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,242.88441165106192,1999,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,208.31362377380367,1999,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,99.70508319445777,1999,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,104.9559050044554,1999,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,166.6488900113526,1999,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,133.27576474060044,1999,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,52.96763013226315,1999,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,52.0932201018676,1999,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,213.7119940097048,1999,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,243.90595218627874,1999,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,48.335108442749004,1999,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.53160412078856,1999,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
