"","year","annual_burn_defor","cum_burn_defor"
"1",1990,3728.82459996502,3728.82459996502
"2",1991,3575.10809951794,7303.93269948296
"3",1992,4934.75480861565,12238.6875080986
"4",1993,4586.67983955578,16825.3673476544
"5",1994,5285.30468542596,22110.6720330804
"6",1995,6724.57580300866,28835.247836089
"7",1996,4990.83786269522,33826.0856987842
"8",1997,5640.96472277081,39467.050421555
"9",1998,4838.14065816468,44305.1910797197
"10",1999,4910.183888745,49215.3749684647
"11",2000,5637.60715315643,54852.9821216211
"12",2001,5929.61366108191,60782.5957827031
"13",2002,6409.77718004736,67192.3729627504
"14",2003,8573.51969171825,75765.8926544687
"15",2004,6090.50967546516,81856.4023299338
"16",2005,6953.40534062841,88809.8076705622
"17",2006,6225.70214303888,95035.5098136011
"18",2007,5265.09980190149,100300.609615503
"19",2008,5151.67383895416,105452.283454457
"20",2009,2892.2138524242,108344.497306881
"21",2010,2333.89262081927,110678.3899277
"22",2011,3035.24372841595,113713.633656116
"23",2012,2451.82607945374,116165.45973557
"24",2013,2805.72767194793,118971.187407518
"25",2014,2398.64372009595,121369.831127614
"26",2015,3016.17039500598,124386.00152262
"27",2016,3882.25607876013,128268.25760138
"28",2017,3124.44471709301,131392.702318473
"29",2018,3830.79999112395,135223.502309597
"30",2019,3115.11205083887,138338.614360436
"31",2020,3099.96315050281,141438.577510939
"32",2021,7337.12707512545,148775.704586064
