system:index,area_km2,freq_desf,year,.geo
0,3695.2791397011692,1,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,764.1845473621221,2,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,238.76443512377938,3,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,90.90759792749044,4,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,32.467401743408246,5,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,10.874338429443368,6,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.794768654541017,7,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.2836617601318352,8,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3869336000366211,9,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.12172681225585935,10,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.036202882202148436,11,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.01508477423095703,12,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.024819393859863283,13,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
