system:index,area_km2,freq_std,year,.geo
0,28607.563783480335,1,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5927.561179583722,2,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1705.0003863344157,3,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,570.8613963449702,4,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,176.84198553594953,5,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,53.79050219158933,6,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,15.334941878479004,7,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.479656018920896,8,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.3066684157104498,9,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0553751952514656,10,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
