system:index,area_km2,year,ysf_desf,.geo
0,3328.7493694130135,2008,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,425.979498116577,2008,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,375.30181182861304,2008,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,147.35834511352542,2008,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,121.91963639074717,2008,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,90.19292205584712,2008,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,94.7310593634034,2008,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,61.48341805981441,2008,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,80.670962152893,2008,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,65.19587282525644,2008,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,42.57071434979253,2008,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,24.05615919183351,2008,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,26.22535730603027,2008,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,13.156525203491183,2008,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,30.39271757397461,2008,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,62.62086554199217,2008,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,21.82255892816164,2008,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.324903546081527,2008,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,10.615598551086435,2008,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,41.736029307861266,2008,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,54.65647336816407,2008,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.855913097717291,2008,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,12.057127668273916,2008,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
