system:index,area_km2,year,ysf_std_for_area,.geo
0,25209.57211714637,2010,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3604.841373625057,2010,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5868.854347585842,2010,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,15596.446837502579,2010,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4803.262817645016,2010,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8369.838337607785,2010,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5090.684632735504,2010,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4702.044286296118,2010,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3999.8988632982523,2010,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3911.2317502512365,2010,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2951.1369728477616,2010,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5129.416060551678,2010,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9168.364007487837,2010,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2725.428160036784,2010,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1666.5308974585482,2010,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2059.1059308426557,2010,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1454.0339191813925,2010,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2772.3956595653444,2010,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4169.835812036202,2010,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1675.4776544043364,2010,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,846.0017514272542,2010,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,732.6100334012189,2010,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3570.9380058380957,2010,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,3610.936218372654,2010,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1110.2236884112074,2010,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1335.7781718708854,2010,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
