system:index,Biome,Emissions_Tg,GHG,Year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,16.861534287043906,CO2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,15.817580183727248,CO2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,24.271052252517514,CO2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,38.0283054709927,CO2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,31.634123626433247,CO2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,62.374600826896476,CO2,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,42.30355855825725,CO2,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,46.47102435811105,CO2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,80.78247841075225,CO2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,44.97302616926637,CO2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,55.81912687532009,CO2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,46.86422874470942,CO2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,51.93760697432212,CO2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,64.73136440903642,CO2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,51.58480502548633,CO2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,67.4149492573398,CO2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,44.50628310848537,CO2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,61.88407199677389,CO2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,68.84025261304492,CO2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,60.33881977269606,CO2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,82.1715956044539,CO2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,46.76741470293508,CO2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,51.6738265349143,CO2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,51.392037946055524,CO2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,48.225193920737894,CO2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_0,amazonia,43.626615155122046,CO2,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_0,amazonia,38.49086244637649,CO2,2028,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_0,amazonia,33.34197144825337,CO2,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_0,amazonia,28.507207641937608,CO2,2030,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_0,amazonia,24.15597668469918,CO2,2031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0,amazonia,20.32252661023073,CO2,2032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_0,amazonia,16.972279378195278,CO2,2033,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0,amazonia,14.08992302850453,CO2,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,amazonia,11.644277130431448,CO2,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,amazonia,9.57195395004723,CO2,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,amazonia,7.853412702945773,CO2,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,amazonia,6.431318129601821,CO2,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
