"","year","cum_burn_standing"
"1",1990,22703.610141226
"2",1991,25542.055782173
"3",1992,31754.0675127386
"4",1993,34699.0739716583
"5",1994,37063.8092271943
"6",1995,39747.0894278387
"7",1996,42077.321452314
"8",1997,45190.8034929749
"9",1998,60141.7028532761
"10",1999,66879.6387773832
"11",2000,69908.7113513814
"12",2001,74111.9855439123
"13",2002,78245.4845113736
"14",2003,82405.2488379161
"15",2004,87260.9513463766
"16",2005,95120.2210561254
"17",2006,98638.3235752991
"18",2007,112215.250210568
"19",2008,115410.753850125
"20",2009,117044.184164573
"21",2010,126134.888307426
"22",2011,127860.247218993
"23",2012,131070.355318904
"24",2013,132975.185113574
"25",2014,135770.421195272
"26",2015,144486.994371211
"27",2016,162964.149083388
"28",2017,171350.660751095
"29",2018,173728.288301937
"30",2019,178008.268386883
"31",2020,184625.184570879
"32",2021,187926.07210071
