system:index,area_km2,freq_desf,year,.geo
0,4499.788097780332,1,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,811.989481567446,2,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,223.1544082854616,3,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,69.90101288623055,4,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,24.84727672106931,5,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8.076537113098148,6,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.270923162231445,7,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6715618541870118,8,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.22028717498779293,9,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.018576744567871093,10,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.01946798999023437,11,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0070914912109375,12,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
