system:index,area_km2,freq_std,year,.geo
0,45553.04499464295,1,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9152.460140144532,2,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3187.677002649826,3,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1329.5727459379177,4,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,557.163182334045,5,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,218.74077085723877,6,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,86.88812392059322,7,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,34.84068024261472,8,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,12.556585198303218,9,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.407317184509277,10,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9185007078857417,11,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0152782719726565,12,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5206569304809571,13,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.87855344494629,14,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
