system:index,area_km2,year,ysf_desf,.geo
0,1017.2735385733595,2013,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,175.0529730756835,2013,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,418.04689019451905,2013,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,79.63828578668205,2013,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,86.20049500885021,2013,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,179.5358720067142,2013,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,96.74578756835955,2013,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,136.01927004559332,2013,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,70.04092234558108,2013,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,70.65249136944581,2013,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,53.6546205063477,2013,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,51.52605533654788,2013,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,34.819180570739746,2013,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,48.69061226428221,2013,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,51.208431371093745,2013,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,28.9479458395386,2013,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,15.099488237182632,2013,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,17.465042712280283,2013,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.201643640319828,2013,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,22.077379530883785,2013,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,36.77568259979249,2013,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,13.027717809021004,2013,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.428819598815923,2013,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,8.595321729370122,2013,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,23.645867993347174,2013,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,41.71174069177245,2013,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,6.937273125671384,2013,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,7.708322416137692,2013,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
