system:index,area_km2,year,ysf_std_for_area,.geo
0,8392.031449618882,2001,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5271.399307121288,2001,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8962.07480655557,2001,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,16371.508773840143,2001,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3758.4930449349113,2001,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2415.1626173918157,2001,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2701.1196310240557,2001,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2037.6145660490822,2001,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3247.874736182742,2001,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4992.056820157821,2001,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2157.9631238996367,2001,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1069.2048556274399,2001,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,870.863930398473,2001,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4471.927372684025,2001,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4463.401281983406,2001,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1331.6382387642686,2001,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1597.6509876783405,2001,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
