system:index,METADATA,.geo
0,FATE Model v2-1 - Integrated model for GHG emissions from forest fires in primary forests,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Emissions from fires not associated with deforestation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,By INPE/IPAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Headers,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Biome: amazonia,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"GHG:	Greenhouse gas of interest","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"Year:	Year of reference","{""type"":""MultiPoint"",""coordinates"":[]}"
8,Emissions_Tg: GHG emissions (in Tg),"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Observations,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"Input spatial products: Mapbiomas Fire collection 2 (1986-2022), SEEG 10 forest mask stable, and Rectified QCN carbon stocks","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"Biophysical processes:  Combustion, tree mortality, tree regeneration and decomposition","{""type"":""MultiPoint"",""coordinates"":[]}"
13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Other details,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Forest mask stable is the total standing forest at the end of the time series,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Rectified QCN carbon stocks are maps corrected by Mapbiomas vegetation classes,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Output products,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,amazonia-CO2_Tg_comb_read_warning-v2-1: Gross CO2 emissions from combustion,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,amazonia-CO_Tg_comb-v2-1: CO emissions from combustion,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,amazonia-CH4_Tg_comb-v2-1: CH4 emissions from combustion,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,amazonia-N2O_Tg_comb-v2-1: N2O emissions from combustion,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,amazonia-NOX_Tg_comb-v2-1: NOX emissions from combustion,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,"amazonia-CO2_Tg_balance-v2-1: Net CO2 emissions from combustion, decomposition and regeneration","{""type"":""MultiPoint"",""coordinates"":[]}"
25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,"Author(s):	Dra. Camila Silva, Dra. Aline Pontes Lopes, and Wallace Vieira da Silva","{""type"":""MultiPoint"",""coordinates"":[]}"
27,Date (y-m-d): 2023-4-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,"For further clarifications, please contact: camila.silva@ipam.org.br; alineplopes@gmail.com","{""type"":""MultiPoint"",""coordinates"":[]}"
