STATUS	ASSET_PATH	TYPE	GROUP	USED_BY	NOTES
NOT_FOUND	projects/mapbiomas-workspace/SEEG/2023/c10/2_0_Mask_stable	ImageCollection	MAPBIOMAS	Paper_SM_tab2, Paper_fig1_map	CRITICO: mascara C10 sumiu
NOT_FOUND	projects/mapbiomas-workspace/SEEG/2023/c10/2_0_Mask_stable/SEEG_c10_v_0_29_2020	Image	MAPBIOMAS	Todos fate_model*.js	CRITICO: band 2020 sumiu (6 scripts dependem)
OK	projects/mapbiomas-workspace/SEEG/2021/Col9/mask_stable	ImageCollection	MAPBIOMAS	Paper_fig1_data	PALIATIVO: versao Col9 funciona
OK	projects/mapbiomas-workspace/SEEG/2023/c10/1_1_Temporal_filter_deforestation	Image	MAPBIOMAS	Paper_fig1_map (comentado)	32 bandas, nao ativo
OK	projects/mapbiomas-workspace/SEEG/2022/QCN/QCN_30m_BR_v2_0_1	ImageCollection	MAPBIOMAS	TODOS os 10 scripts	CRITICO: OK! usado em todos
NOT_FOUND	projects/mapbiomas-workspace/FOGO_COL2/PRODUTOS_REGIME_DO_FOGO/mapbiomas-fire-collection2-time-after-fire-v1	Image	MAPBIOMAS	fate_model, fate_legacy, Paper_fig1_map	CRITICO: time-since-fire sumiu (38 bandas)
NOT_FOUND	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-annual-burned-coverage-v1	Image	MAPBIOMAS	fate_model, fate_legacy, fate_mb_col2, Paper_fig1_map	CRITICO: annual burned area sumiu
NOT_FOUND	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-fire-frequency-coverage-v1	Image	MAPBIOMAS	fate_model, fate_legacy_AP, Paper_fig1_map	ATENCAO: nao confundir com fire-frequency-v1
NOT_FOUND	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-fire-frequency-v1	Image	MAPBIOMAS	fate_model_legacy	ATENCAO: asset diferente do coverage
NOT_FOUND	projects/mapbiomas-workspace/AUXILIAR/biomas_IBGE_250mil	FeatureCollection	MAPBIOMAS	8 scripts (fate_model + fig1_data)	CRITICO: filtro espacial sumiu
NOT_FOUND	projects/mapbiomas-workspace/AUXILIAR/estados-2017	FeatureCollection	MAPBIOMAS	Paper_fig1_map	Cartografia - sumiu
OK	projects/mapbiomas-workspace/AUXILIAR/America_do_Sul	FeatureCollection	MAPBIOMAS	Paper_fig1_map	18 features
OK	projects/mapbiomas-workspace/AUXILIAR/areas-protegidas-por-ano-2022/ap2022	Image	MAPBIOMAS	fate_model_legacy_AP	1 banda
NOT_FOUND	projects/mapbiomas-workspace/public/collection6/mapbiomas-fire-collection1-fire-frequency-1	Image	MAPBIOMAS	Paper_fig1_data (Col1)	Collection 1 - era esperado deprecated
NOT_FOUND	projects/mapbiomas-workspace/public/collection6/mapbiomas-fire-collection1-annual-burned-coverage-1	Image	MAPBIOMAS	Paper_fig1_data (Col1)	Collection 1 - era esperado deprecated
OK	projects/ee-seegfiredyn/assets/internal-version-2023-nasa-mcd64a1-time-after-fire-v1-2002to2023	Image	INPE	fate_model_nasa*.js	22 bandas, 3.0 GB
OK	projects/ee-seegfiredyn/assets/mapbiomas-fire-collection2-time-after-fire-v1-2002to2023	Image	INPE	fate_model_mapbiomas-col2*.js	22 bandas, 10.2 GB
OK	projects/ee-seegfiredyn/assets/mapbiomas-fire-collection1-year-since-fire-v1	Image	INPE	Paper_fig1_data	36 bandas, 21.1 GB
NOT_FOUND	projects/ee-seegfiredyn/assets/10grid	FeatureCollection	INPE	Paper_fig1_data	grid sumiu
OK	projects/ee-seeg-brazil/assets/collection_9/v1/1_1_Temporal_filter_deforestation	Image	INPE	Paper_fig1_data	31 bandas
OK	projects/ee-seeg-brazil/assets/collection_9/v1/1_1_Temporal_filter_regeneration	Image	INPE	Paper_fig1_data + Paper_fig1_map	31 bandas
OK	users/camilaflorestal/MAPBIOMAS/mb_biomescopy	FeatureCollection	USUARIO	Paper_SM_tab2, Paper_fig1_map, Paper_fig1_data	6 features - funciona como substituto do biomas_IBGE
OK	MODIS/061/MCD64A1	ImageCollection	PUBLICO	fate_model_nasa*.js	Unico asset garantido publico
NAO_TESTADO	users/gena/packages:style	Module	MODULO	Paper_fig1_map	Modulo de visualizacao (scale bar)
NAO_TESTADO	projects/mapbiomas-workspace/SEEG/2022/FOGO/FLORESTA/	Output	MAPBIOMAS	Todos fate_model*.js	Destino de exportacao (nao testar)
NAO_TESTADO	projects/ee-seegfiredyn/assets/grid-ysf_forest_stable-and-ysf_deforestation	Output	INPE	Paper_fig1_data	Destino de exportacao (nao testar)
