ORDEM	ASSET_ORIGINAL	TIPO	FUNCAO	SCRIPTS_AFETADOS	PALIATIVO	SUGESTAO_SUBSTITUICAO
1	projects/mapbiomas-workspace/SEEG/2023/c10/2_0_Mask_stable	ImageCollection	Mascara florestal estavel (SEEG C10, 35 bandas 1989-2022). Classe 3 = floresta.	Paper_SM_tab2_data.js, Paper_fig1_map.js	USAR projects/mapbiomas-workspace/SEEG/2021/Col9/mask_stable (OK). Mesma logica, versao anterior.	
2	projects/mapbiomas-workspace/SEEG/2023/c10/2_0_Mask_stable/SEEG_c10_v_0_29_2020	Image	Band unica (2020) da mascara C10. .eq(3).selfMask() nos 6 fate_model*.js	fate_model.js, fate_model_legacy.js, fate_model_legacy-in_protect_areas.js, fate_model_nasa-mcd64a1-v6-2002-2023.js, fate_model_mapbiomas-fire-collection2-2002-2023.js, fate_model_legacy_nasa-mcd64a1-v6-2002-2023.js, fate_model_legacy_mapbiomas-fire-collection2-2002-2023.js	Se usar Col9/mask_stable, extrair band equivalente (ex: .select('SEEG_c9_v_0_29_2020') ou equivalente).	
3	projects/mapbiomas-workspace/FOGO_COL2/PRODUTOS_REGIME_DO_FOGO/mapbiomas-fire-collection2-time-after-fire-v1	Image	Years-Since-Fire (YSF). 38 bandas classification_YYYY 1986-2022. Entrada principal do modelo de fogo.	fate_model.js, fate_model_legacy.js, fate_model_legacy-in_protect_areas.js, Paper_fig1_map.js	INPE ee-seegfiredyn/assets/mapbiomas-fire-collection2-time-after-fire-v1-2002to2023 (OK, 22 bandas). Perde 1986-2001. Paper_fig1_map.js usa so como 'ysf' no mapa.	
4	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-annual-burned-coverage-v1	Image	Area queimada anual (bandas burned_coverage_YYYY). Usado com .selfMask() e .slice().	fate_model.js, fate_model_legacy.js, fate_model_legacy-in_protect_areas.js, fate_model_mapbiomas-fire-collection2-2002-2023.js, fate_model_legacy_mapbiomas-fire-collection2-2002-2023.js, Paper_fig1_map.js	Derivar do time-since-fire (onde YSF==1 = queimou no ano). Ou buscar path novo no MapBiomas Fire C2.	
5	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-fire-frequency-coverage-v1	Image	Frequencia de fogo acumulada (bandas fire_frequency_1985_YYYY). Divide por 100, cast int.	fate_model.js, fate_model_legacy-in_protect_areas.js, Paper_fig1_map.js	Derivar do time-since-fire. Ou buscar path novo MapBiomas. NAO confundir com fire-frequency-v1 (asset #6).	
6	projects/mapbiomas-workspace/FOGO_COL2/SUBPRODUTOS/mapbiomas-fire-collection2-fire-frequency-v1	Image	Frequencia de fogo (versao nao-coverage). Divide por 100, cast int.	fate_model_legacy.js	Igual ao #5 mas versao diferente do asset. Pode unificar com coverage se o path novo unificar.	
7	projects/mapbiomas-workspace/AUXILIAR/biomas_IBGE_250mil	FeatureCollection	Biomas brasileiros IBGE 1:250.000. Filtro .filter(ee.Filter.eq('Bioma','Amazônia')). Usado como geometria de estudo e export.	8 scripts: fate_model.js, fate_model_legacy.js, fate_model_legacy-in_protect_areas.js, fate_model_nasa-mcd64a1-v6-2002-2023.js, fate_model_mapbiomas-fire-collection2-2002-2023.js, fate_model_legacy_nasa-mcd64a1-v6-2002-2023.js, fate_model_legacy_mapbiomas-fire-collection2-2002-2023.js, Paper_fig1_data.js	USAR users/camilaflorestal/MAPBIOMAS/mb_biomescopy (OK, 6 features). ATENCAO: verificar se a propriedade de filtro tem o mesmo nome ('Bioma' vs 'biome' etc).	
8	projects/mapbiomas-workspace/AUXILIAR/estados-2017	FeatureCollection	Limites estaduais 2017. Uso cartografico (linhas no mapa).	Paper_fig1_map.js	Fazer upload do shapefile IBGE como asset proprio. Ou baixar de fonte publica (IBGE, Natural Earth).	
9	projects/mapbiomas-workspace/public/collection6/mapbiomas-fire-collection1-fire-frequency-1	Image	Frequencia de fogo MapBiomas Fire Collection 1 (antiga). Divide por 100, cast int.	Paper_fig1_data.js	Deprecated. Paper_fig1_data.js e de jan/2023 e pode ser descontinuado. Se necessario, usar equivalente Col2.	
10	projects/mapbiomas-workspace/public/collection6/mapbiomas-fire-collection1-annual-burned-coverage-1	Image	Area queimada anual MapBiomas Fire Collection 1 (antiga). .slice(1).selfMask().	Paper_fig1_data.js	Deprecated. Mesmo caso do #9.	
11	projects/ee-seegfiredyn/assets/10grid	FeatureCollection	Grid de ~10 km para agregacao espacial e visualizacao.	Paper_fig1_data.js	Gerar grid programaticamente no script: biome.geometry().coveringGrid('EPSG:4326', 10000). Ou recriar como asset se usado em outros scripts.	
